"('word_freq_make',)","('word_freq_address',)","('word_freq_all',)","('word_freq_our',)","('word_freq_over',)","('word_freq_remove',)","('word_freq_internet',)","('word_freq_order',)","('word_freq_mail',)","('word_freq_receive',)","('word_freq_will',)","('word_freq_people',)","('word_freq_free',)","('word_freq_business',)","('word_freq_email',)","('word_freq_you',)","('word_freq_credit',)","('word_freq_your',)","('word_freq_000',)","('word_freq_money',)","('word_freq_hp',)","('word_freq_hpl',)","('word_freq_george',)","('word_freq_650',)","('word_freq_labs',)","('word_freq_data',)","('word_freq_85',)","('word_freq_technology',)","('word_freq_1999',)","('word_freq_direct',)","('word_freq_re',)","('word_freq_edu',)","('char_freq_;',)","('char_freq_(',)","('char_freq_[',)","('char_freq_!',)","('char_freq_$',)","('char_freq_#',)","('crla_scale',)","('crll_scale',)","('crlt_scale',)",label
0,0,0.015686275,0.017,0,0,0.00720072,0.015209125,0,0,0.044467425,0.014414414,0,0,0,0,0,0,0.014678899,0,0.169947192,0,0,0,0,0,0,0.100130039,0.02467344,0,0,0,0.018244014,0.004614438,0,0,0.001832417,0,0.001316387,0.002402883,0.035669192,-1
0.002202643,0.00210084,0.039215686,0.009,0.005102041,0,0,0.009505703,0.002750275,0,0.04860393,0.005405405,0.0045,0.025210084,0.01430143,0.018666667,0.001650165,0.01350135,0,0.0024,0,0,0.00150015,0.00330033,0,0.080858086,0,0.014304291,0.130624093,0.006302521,0.002334267,0.008163265,0.008665906,0.026968827,0.00122519,0.000492641,0,0.000252156,0.001116659,0.010112135,0.199936869,-1
0,0,0.266666667,0,0,0,0,0,0,0,0,0,0,0,0,0.109333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063492063,0.030839002,0,0.011587367,0,0,0,0,0.000285974,0.00030036,0.001515152,-1
0,0,0.221568627,0.037,0,0,0,0,0,0,0,0,0.0185,0,0.04070407,0.060266667,0,0.03330333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014868745,0,0.013424472,0,0,0.00071902,0.005406488,0.009217172,-1
0.011013216,0,0.009803922,0.03,0,0,0,0.096958175,0,0,0.015511892,0,0,0,0.00550055,0.010666667,0,0.01350135,0,0,0.032165146,0.043217287,0.00150015,0,0,0.0110011,0,0,0.066763425,0,0,0,0.047662486,0.016201805,0.012251899,0,0.002332167,0,0.002509305,0.008410092,0.089772727,-1
0.033039648,0.021008403,0.088235294,0.076,0.051020408,0,0,0.288973384,0.083608361,0.057471264,0.20475698,0.054054054,0.015,0,0.167216722,0.114133333,0.008250825,0.219621962,0.139449541,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002563577,0,0.032360367,0.037481259,0.002521559,0.005162052,0.021625951,0.056502525,1
0,0,0.107843137,0.022,0.037414966,0.015130674,0,0.020912548,0.01210121,0,0.034126163,0.059459459,0,0.030812325,0,0,0,0,0.100917431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015894176,0,0.001046862,0.019990005,0,0.000872447,0.001301562,0.019002525,1
0,0,0,0.294,0,0,0,0,0,0,0,0,0.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076396807,0.034351928,0,0.020660139,0,0,0.002723559,0.001101322,0.001704545,1
0,0,0.096078431,0.148,0,0,0,0.093155894,0,0,0,0,0.033,0.046218487,0,0.043733333,0,0.04410441,0,0,0,0,0,0,0,0,0,0.020806242,0,0,0.007469655,0,0,0.020200984,0,0.018966685,0,0,0.004337721,0.012715258,0.03459596,1
0,0,0,0.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000907853,0.000400481,0.00094697,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101776284,0.382953181,0,0,0,0,0,0,0.307692308,0,0,0,0,0,0,0,0,0,0.00065547,0.000600721,0.001893939,-1
0,0,0,0,0.19047619,0,0.201620162,0,0,0.429118774,0.11582213,0,0,0,0,0.239466667,0,0,0.205504587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02506312,0,0,0.001452565,0.001401682,0.00239899,1
0,0,0.1,0.103,0.086734694,0,0,0,0,0.195402299,0.106514995,0,0,0.071428571,0.056105611,0.138133333,0,0.466246625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007588187,0,0.011484697,0.024820923,0,0.005658647,0.00700841,0.013636364,1
0,0,0,0.416,0,0,0,0,0,0,0.430196484,0,0,0,0,0.221866667,0,0,0,0,0,0,0,0,0,0.228822882,0,0,0,0,0,0,0,0.070652174,0,0.02121436,0,0,0.000272356,0.00030036,0.000757576,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242133333,0,0.818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000252525,-1
0,0,0,0,0.008503401,0,0.03060306,0,0,0.042145594,0.083764219,0.009009009,0,0.105042017,0,0,0,0,0.009174312,0,0.05568891,0,0,0,0,0.002750275,0,0.029908973,0.007256894,0,0,0,0.064538198,0.010972108,0,0,0.008828919,0,0.000784385,0.003103724,0.057386364,-1
0,0,0,0.097,0,0.133425034,0,0,0,0,0,0,0.0485,0,0,0,0,0.174617462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025678921,0,0,0.001862914,0.00670805,0.007260101,1
0,0,0.029411765,0.031,0,0.020632737,0,0.119771863,0.008250825,0.057471264,0,0,0.0555,0,0.139713971,0.042133333,0,0,0,0,0.045607297,0,0,0,0,0,0,0,0.044992743,0.031512605,0,0,0,0.00902379,0,0.026541043,0.117774446,0.001109486,0.004015433,0.005006007,0.07114899,1
0,0,0.184313725,0,0,0,0,0,0,0,0.04860393,0,0,0,0,0,0,0,0,0,0.02256361,0,0,0,0,0,0,0,0.136429608,0,0,0,0,0,0,0,0,0,0.000695415,0.00030036,0.003282828,-1
0,0,0,0.104,0.176870748,0,0,0,0,0,0,0,0.3125,0,0,0.221866667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171038857,0,0,0.002065365,0.001301562,0.005934343,1
0,0.047619048,0,0.408,0,0.093535076,0,0,0.03740374,0.521072797,0.140641158,0,0,0.095238095,0.074807481,0.145066667,0,0.122412241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018490755,0,0.005073082,0.00670805,0.007007576,1
